A Bushel and a Peck,Guys and Dolls
A Change in Me,Beauty and the Beast
"A Little Brains, A Little Talent",Damn Yankees
A Spoonful of Sugar,Mary Poppins
A Whole New World,Aladdin
A Wonderful Guy,South Pacific
Adelaide's Lament,Guys and Dolls
Alexander Hamilton,Hamilton
All I Ask of You,The Phantom of the Opera
All That Jazz,Chicago
All the Wasted Time,Parade
And I Am Telling You I'm Not Going,Dreamgirls
"Another Op'nin', Another Show","Kiss Me, Kate"
Any Dream Will Do,Joseph and the Amazing Technicolor Dreamcoat
Anything Goes,Anything Goes
Aquarius,Hair
As If We Never Said Goodbye,Sunset Boulevard
As Long as He Needs Me,Oliver!
Bali Ha'i,South Pacific
Be Our Guest,Beauty and the Beast
Beauty and the Beast,Beauty and the Beast
Being Alive,Company
"Bewitched, Bothered and Bewildered",Pal Joey
Big Spender,Sweet Charity
Buenos Aires,Evita
Cabaret,Cabaret
Can't Help Lovin' Dat Man,Show Boat
Chim Chim Cher-ee,Mary Poppins
Circle of Life,The Lion King
Climb Ev'ry Mountain,The Sound of Music
Consider Yourself,Oliver!
Corner of the Sky,Pippin
Day by Day,Godspell
Defying Gravity,Wicked
Do-Re-Mi,The Sound of Music
Don't Cry for Me Argentina,Evita
Ease on Down the Road,The Wiz
Edelweiss,The Sound of Music
Everything's Coming Up Roses,Gypsy
Falling Slowly,Once
For Good,Wicked
Friend Like Me,Aladdin
Getting to Know You,The King and I
Good Morning Baltimore,Hairspray
Good Morning Starshine,Hair
Goodbye,Catch Me If You Can
Happy Talk,South Pacific
Hard to Be the Bard,Something Rotten!
He Lives in You,The Lion King
"Hey, Look Me Over",Wildcat
Honey Bun,South Pacific
Hopelessly Devoted to You,Grease
How to Handle a Woman,Camelot
I Am What I Am,La Cage aux Folles
I Believe,The Book of Mormon
I Can't Say No,Oklahoma!
I Could Have Danced All Night,My Fair Lady
I Don't Know How to Love Him,Jesus Christ Superstar
I Dreamed a Dream,Les Misérables
I Got Plenty o' Nuttin',Porgy and Bess
I Got Rhythm,Girl Crazy
I Hate Men,"Kiss Me, Kate"
I Know Him So Well,Chess
I Wanna Be a Producer,The Producers
I Whistle a Happy Tune,The King and I
I Will Always Love You,The Bodyguard
I Won't Grow Up,Peter Pan
I'm Gonna Wash That Man Right Outa My Hair,South Pacific
I'm Not That Girl,Wicked
I've Grown Accustomed to Her Face,My Fair Lady
If Ever I Would Leave You,Camelot
If I Can't Love Her,Beauty and the Beast
If I Loved You,Carousel
If I Were a Bell,Guys and Dolls
If I Were a Rich Man,Fiddler on the Roof
If My Friends Could See Me Now,Sweet Charity
If You Could See Her,Cabaret
It's a Hard Knock Life,Annie
Let It Go,Frozen
Losing My Mind,Follies
Luck Be a Lady,Guys and Dolls
Mama Who Bore Me,Spring Awakening
Maybe,Annie
Memory,Cats
My Favorite Things,The Sound of Music
My Funny Valentine,Babes in Arms
No One Is Alone,Into the Woods
Not a Day Goes By,Merrily We Roll Along
"Oh, What a Beautiful Mornin'",Oklahoma!
On My Own,Les Misérables
One,A Chorus Line
One Day More,Les Misérables
Over the Rainbow,The Wizard of Oz
People Will Say We're in Love,Oklahoma!
Popular,Wicked
Pure Imagination,Charlie and the Chocolate Factory
Put On a Happy Face,Bye Bye Birdie
Seasons of Love,Rent
Send in the Clowns,A Little Night Music
Seventy-Six Trombones,The Music Man
Shall We Dance?,The King and I
She Used to Be Mine,Waitress
"Sit Down, You're Rockin' the Boat",Guys and Dolls
Some Enchanted Evening,South Pacific
Someone to Watch Over Me,Crazy for You
Something Wonderful,The King and I
Somewhere,West Side Story
Supercalifragilisticexpialidocious,Mary Poppins
The Impossible Dream,Man of La Mancha
The Joint Is Jumpin',Ain't Misbehavin'
The Last Midnight,Into the Woods
The Light in the Piazza,The Light in the Piazza
The Man I Love,Strike Up the Band
The Music and the Mirror,A Chorus Line
The Oldest Established,Guys and Dolls
The Sound of Music,The Sound of Music
The Surrey with the Fringe on Top,Oklahoma!
There Is Nothin' Like a Dame,South Pacific
There's No Business Like Show Business,Annie Get Your Gun
This Is the Moment,Jekyll & Hyde
Together Wherever We Go,Gypsy
Tomorrow,Annie
Tonight,West Side Story
Try to Remember,The Fantasticks
We Go Together,Grease
Welcome to the 60's,Hairspray
What I Did for Love,A Chorus Line
When I Grow Up,Matilda
Where Is Love?,Oliver!
Who Will Buy?,Oliver!
Wouldn't It Be Loverly,My Fair Lady
You'll Never Walk Alone,Carousel
You're Timeless to Me,Hairspray
You're the One That I Want,Grease
You've Got a Friend,Beautiful: The Carole King Musical
Your Song,Moulin Rouge!
Zip-a-Dee-Doo-Dah,Song of the South
